Fecha,$/Tonelada,Area Sembrada
1/01/2000,401475,22124
1/02/2000,400871,43311
1/03/2000,409757,56613
1/04/2000,418874,69249
1/05/2000,422111,47025
1/06/2000,426249,45639
1/07/2000,407879,25350
1/08/2000,394665,29062
1/09/2000,397824,38146
1/10/2000,413362,30069
1/11/2000,425172,26981
1/12/2000,430925,13983
1/01/2001,443298,22384
1/02/2001,509609,43820
1/03/2001,541173,57278
1/04/2001,524398,70062
1/05/2001,512728,47578
1/06/2001,512151,46175
1/07/2001,480543,26921
1/08/2001,456998,24831
1/09/2001,465141,41162
1/10/2001,469829,34755
1/11/2001,475062,22658
1/12/2001,475955,11376
1/01/2002,477269,19183
1/02/2002,483343,37553
1/03/2002,485188,49086
1/04/2002,495024,60041
1/05/2002,516371,40773
1/06/2002,522921,39571
1/07/2002,508271,22666
1/08/2002,483657,26090
1/09/2002,486786,44769
1/10/2002,490314,30102
1/11/2002,492152,22395
1/12/2002,503200,12356
1/01/2003,520754,24275
1/02/2003,565277,47521
1/03/2003,590148,62116
1/04/2003,597834,75980
1/05/2003,599614,51596
1/06/2003,602893,50075
1/07/2003,587870,17061
1/08/2003,528074,19294
1/09/2003,522776,45602
1/10/2003,540392,35850
1/11/2003,566841,25666
1/12/2003,583699,17780
1/01/2004,603112,25616
1/02/2004,624871,50147
1/03/2004,621181,65548
1/04/2004,615193,80178
1/05/2004,607748,54447
1/06/2004,587524,52842
1/07/2004,570429,24143
1/08/2004,537976,23774
1/09/2004,513657,44921
1/10/2004,519167,34603
1/11/2004,521524,27438
1/12/2004,536530,10872
1/01/2005,554441,20990
1/02/2005,557119,41091
1/03/2005,571648,53710
1/04/2005,575869,65698
1/05/2005,574167,44614
1/06/2005,568190,43299
1/07/2005,558333,18595
1/08/2005,550848,19991
1/09/2005,553976,40713
1/10/2005,558571,29031
1/11/2005,563571,22531
1/12/2005,566429,8689
1/01/2006,566557,16999
1/02/2006,569964,33278
1/03/2006,574583,43498
1/04/2006,596000,53206
1/05/2006,618243,36131
1/06/2006,636054,35066
1/07/2006,634769,15505
1/08/2006,624283,32306
1/09/2006,643718,51893
1/10/2006,654743,32663
1/11/2006,633078,19356
1/12/2006,612226,10472
1/01/2007,612667,17402
1/02/2007,624250,34067
1/03/2007,637869,44530
1/04/2007,639440,54468
1/05/2007,639476,36988
1/06/2007,636940,35898
1/07/2007,631512,20348
1/08/2007,628419,25370
1/09/2007,631060,45186
1/10/2007,636087,30697
1/11/2007,640068,29825
1/12/2007,642282,8911
1/01/2008,650346,21503
1/02/2008,718696,42095
1/03/2008,809653,55022
1/04/2008,830016,67303
1/05/2008,869673,45704
1/06/2008,1084488,44357
1/07/2008,1130914,19860
1/08/2008,901771,21445
1/09/2008,933036,47676
1/10/2008,1068366,38773
1/11/2008,1099250,23577
1/12/2008,1069314,14915
1/01/2009,1070107,25704
1/02/2009,975521,50319
1/03/2009,904057,65773
1/04/2009,901200,80453
1/05/2009,902200,54634
1/06/2009,854732,53023
1/07/2009,793743,17926
1/08/2009,763271,19331
1/09/2009,712466,35499
1/10/2009,710664,25000
1/11/2009,730664,24394
1/12/2009,726166,16831
1/01/2010,776536,20691
1/02/2010,874000,40506
1/03/2010,821063,52946
1/04/2010,775929,64763
1/05/2010,802786,43980
1/06/2010,841257,42683
1/07/2010,812429,17620
1/08/2010,814607,26720
1/09/2010,844571,38155
1/10/2010,868821,37607
1/11/2010,902357,21763
1/12/2010,916086,13286
1/01/2011,912214,23081
1/02/2011,920560,45184
1/03/2011,953000,59061
1/04/2011,980000,72243
1/05/2011,1040857,49059
1/06/2011,1003323,47612
1/07/2011,868571,21905
1/08/2011,898800,25176
1/09/2011,950929,39543
1/10/2011,1002714,30213
1/11/2011,1028229,22687
1/12/2011,975857,9651
1/01/2012,937929,20145
1/02/2012,975429,39436
1/03/2012,1006750,51547
1/04/2012,1052179,63052
1/05/2012,1148743,42817
1/06/2012,1123679,41555
1/07/2012,1119714,20959
1/08/2012,1150343,24588
1/09/2012,1190644,42838
1/10/2012,1181527,34101
1/11/2012,1072821,26449
1/12/2012,988143,8566
1/01/2013,895286,22843
1/02/2013,868929,44717
1/03/2013,892829,58451
1/04/2013,922636,71496
1/05/2013,923714,48552
1/06/2013,924314,47120
1/07/2013,909571,14346
1/08/2013,896457,22477
1/09/2013,893600,40562
1/10/2013,896443,32520
1/11/2013,885743,23962
1/12/2013,870869,11389
1/01/2014,873900,18745
1/02/2014,894614,36696
1/03/2014,913664,47966
1/04/2014,921853,58671
1/05/2014,913936,39842
1/06/2014,917529,38668
1/07/2014,915886,16482
1/08/2014,921556,17928
1/09/2014,919494,29297
1/10/2014,910351,30955
1/11/2014,910208,27074
1/12/2014,943230,10483
1/01/2015,1194595,23826
1/02/2015,1416306,46643
1/03/2015,1345429,60968
1/04/2015,1292914,74576
1/05/2015,1212786,50643
1/06/2015,1123607,49150
1/07/2015,1093429,15168
1/08/2015,1088786,22331
1/09/2015,1129371,40350
1/10/2015,1165714,36394
1/11/2015,1193100,29601
1/12/2015,1247429,12466
1/01/2016,1373786,30592
1/02/2016,1424750,59889
1/03/2016,1323905,78281
1/04/2016,1248393,95753
1/05/2016,1109143,65024
1/06/2016,1089429,63107
1/07/2016,1083607,17859
1/08/2016,1083743,24037
1/09/2016,1068286,48796
1/10/2016,1062571,49539
1/11/2016,1071029,27537
1/12/2016,1059143,10388
1/01/2017,1051036,32261
1/02/2017,1055286,63154
1/03/2017,1058143,82550
1/04/2017,1003071,100975
1/05/2017,991679,68570
1/06/2017,957339,66548
1/07/2017,916286,21656
1/08/2017,896971,24139
1/09/2017,895143,55396
1/10/2017,888857,39330
1/11/2017,877429,24123
1/12/2017,864571,16671
1/01/2018,875371,26006
1/02/2018,895089,50910
1/03/2018,910929,66545
1/04/2018,919643,81397
1/05/2018,944357,55275
1/06/2018,950000,53645
1/07/2018,936536,17708
1/08/2018,926886,23749
1/09/2018,941357,48372
1/10/2018,947000,31867
1/11/2018,947857,30030
1/12/2018,946429,15420
1/01/2019,961286,27492
1/02/2019,985000,53819
1/03/2019,993571,70347
1/04/2019,1010408,86048
1/05/2019,1024171,58434
1/06/2019,1049071,56711
1/07/2019,1072286,21409
1/08/2019,1065500,26584
1/09/2019,1084464,54814
1/10/2019,1152243,41039
1/11/2019,1223786,28613
1/12/2019,1298071,14242
1/01/2020,1415971,30731
1/02/2020,1585857,60159
1/03/2020,1598071,78635
1/04/2020,1612400,96186
1/05/2020,1607643,65318
1/06/2020,1427143,63392
1/07/2020,1330514,17578
1/08/2020,1185429,29413
1/09/2020,1186286,58330
1/10/2020,1193107,49125
1/11/2020,1192571,29207
1/12/2020,1175371,18341
1/01/2021,1077714,30592
1/02/2021,1035857,59889
1/03/2021,1024286,78282
1/04/2021,1023929,95753
1/05/2021,997250,65024
1/06/2021,982086,63107
1/07/2021,929429,19047
1/08/2021,895701,18817
1/09/2021,912091,44117
1/10/2021,947982,31744
1/11/2021,1066929,23561
1/12/2021,1183465,14701
1/01/2022,1306661,27869
1/02/2022,1402714,54557
1/03/2022,1567286,71313
1/04/2022,1658119,87229
1/05/2022,1740714,59236
1/06/2022,1748357,57489
1/07/2022,1684357,15460
1/08/2022,1747257,27411
1/09/2022,1844309,44765
1/10/2022,1913694,45677
1/11/2022,1932357,30367
1/12/2022,1948714,13542
1/01/2023,1963842,27869
1/02/2023,1985000,54557
1/03/2023,1927457,71313
1/04/2023,1875571,69249
1/05/2023,1744335,45302
1/06/2023,1875571,1613186
1/07/2023,1744335,1581214
1/08/2023,1744335,1564214
